STYLE,COLOR,SIZE,UPC
SERPENT,NATURAL LEATHER,7.5,
SERPENT,NATURAL LEATHER,8,
SERPENT,NATURAL LEATHER,8.5,
SERPENT,NATURAL LEATHER,9,
SERPENT,NATURAL LEATHER,9.5,
SERPENT,NATURAL LEATHER,10,
SERPENT,NATURAL LEATHER,10.5,
SERPENT,NATURAL LEATHER,11,
SERPENT,NATURAL LEATHER,12,
SERPENT,BROWN LEATHER,7.5,
SERPENT,BROWN LEATHER,8,
SERPENT,BROWN LEATHER,8.5,
SERPENT,BROWN LEATHER,9,
SERPENT,BROWN LEATHER,9.5,
SERPENT,BROWN LEATHER,10,
SERPENT,BROWN LEATHER,10.5,
SERPENT,BROWN LEATHER,11,
SERPENT,BROWN LEATHER,12,
SERPENT,BLACK LEATHER,7.5,
SERPENT,BLACK LEATHER,8,
SERPENT,BLACK LEATHER,8.5,
SERPENT,BLACK LEATHER,9,
SERPENT,BLACK LEATHER,9.5,
SERPENT,BLACK LEATHER,10,
SERPENT,BLACK LEATHER,10.5,
SERPENT,BLACK LEATHER,11,
SERPENT,BLACK LEATHER,12,
SERPENT,ZEBRA LEATHER,7.5,
SERPENT,ZEBRA LEATHER,8,
SERPENT,ZEBRA LEATHER,8.5,
SERPENT,ZEBRA LEATHER,9,
SERPENT,ZEBRA LEATHER,9.5,
SERPENT,ZEBRA LEATHER,10,
SERPENT,ZEBRA LEATHER,10.5,
SERPENT,ZEBRA LEATHER,11,
SERPENT,ZEBRA LEATHER,12,
SERPENT,BLACK SU,7.5,
SERPENT,BLACK SU,8,
SERPENT,BLACK SU,8.5,
SERPENT,BLACK SU,9,
SERPENT,BLACK SU,9.5,
SERPENT,BLACK SU,10,
SERPENT,BLACK SU,10.5,
SERPENT,BLACK SU,11,
SERPENT,BLACK SU,12,
SERPENT,BLUE ROYAL,7.5,
SERPENT,BLUE ROYAL,8,
SERPENT,BLUE ROYAL,8.5,
SERPENT,BLUE ROYAL,9,
SERPENT,BLUE ROYAL,9.5,
SERPENT,BLUE ROYAL,10,
SERPENT,BLUE ROYAL,10.5,
SERPENT,BLUE ROYAL,11,
SERPENT,BLUE ROYAL,12,
SERPENT,BROWN EXOTIC,7.5,
SERPENT,BROWN EXOTIC,8,
SERPENT,BROWN EXOTIC,8.5,
SERPENT,BROWN EXOTIC,9,
SERPENT,BROWN EXOTIC,9.5,
SERPENT,BROWN EXOTIC,10,
SERPENT,BROWN EXOTIC,10.5,
SERPENT,BROWN EXOTIC,11,
SERPENT,BROWN EXOTIC,12,
SERPENT,WHITE LEATHER,7.5,
SERPENT,WHITE LEATHER,8,
SERPENT,WHITE LEATHER,8.5,
SERPENT,WHITE LEATHER,9,
SERPENT,WHITE LEATHER,9.5,
SERPENT,WHITE LEATHER,10,
SERPENT,WHITE LEATHER,10.5,
SERPENT,WHITE LEATHER,11,
SERPENT,WHITE LEATHER,12,
SERPENT,NATURAL LEATHER,13,
SERPENT,NATURAL LEATHER,11.5,
SERPENT,NATURAL MULTI,7,
SERPENT,NATURAL MULTI,7.5,
SERPENT,NATURAL MULTI,8,
SERPENT,NATURAL MULTI,8.5,
SERPENT,NATURAL MULTI,9,
SERPENT,NATURAL MULTI,9.5,
SERPENT,NATURAL MULTI,10,
SERPENT,NATURAL MULTI,10.5,
SERPENT,NATURAL MULTI,11,
SERPENT,NATURAL MULTI,12,
SERPENT,NATURAL MULTI,13,
SERPENT,NATURAL MULTI,11.5,
SERPENT,WHITE LEATHER,7,
SERPENT,WHITE LEATHER,13,
SERPENT,WHITE LEATHER,11.5,
SERPENT,BROWN LEATHER,7,
SERPENT,BROWN LEATHER,13,
SERPENT,BROWN LEATHER,11.5,
SERPENT,BROWN EXOTIC,7,
SERPENT,BROWN EXOTIC,13,
SERPENT,BROWN EXOTIC,11.5,
SERPENT,BLACK LEATHER,7,
SERPENT,BLACK LEATHER,13,
SERPENT,BLACK LEATHER,11.5,
SERPENT,ZEBRA LEATHER,7,
SERPENT,ZEBRA LEATHER,13,
SERPENT,ZEBRA LEATHER,11.5,
SERPENT,BLACK SU,7,
SERPENT,BLACK SU,13,
SERPENT,BLACK SU,11.5,
SERPENT,BLUE ROYAL,7,
SERPENT,BLUE ROYAL,13,
SERPENT,BLUE ROYAL,11.5,
SERPENT,NATURAL LEATHER,7,
SERPENT,GREY LEATHER,7,
SERPENT,GREY LEATHER,7.5,
SERPENT,GREY LEATHER,8,
SERPENT,GREY LEATHER,8.5,
SERPENT,GREY LEATHER,9,
SERPENT,GREY LEATHER,9.5,
SERPENT,GREY LEATHER,10,
SERPENT,GREY LEATHER,10.5,
SERPENT,GREY LEATHER,11,
SERPENT,GREY LEATHER,12,
SERPENT,GREY LEATHER,13,
SERPENT,GREY LEATHER,11.5,
LEVA,TAN LEATHER,5,
LEVA,TAN LEATHER,5.5,
LEVA,TAN LEATHER,6,
LEVA,TAN LEATHER,6.5,
LEVA,TAN LEATHER,7,
LEVA,TAN LEATHER,7.5,
LEVA,TAN LEATHER,8,
LEVA,TAN LEATHER,8.5,
LEVA,TAN LEATHER,9,
LEVA,TAN LEATHER,9.5,
LEVA,TAN LEATHER,10,
LEVA,TAN LEATHER,10.5,
LEVA,TAN LEATHER,11,
LEVA,BROWN LEATHER,5,
LEVA,BROWN LEATHER,5.5,
LEVA,BROWN LEATHER,6,
LEVA,BROWN LEATHER,6.5,
LEVA,BROWN LEATHER,7,
LEVA,BROWN LEATHER,7.5,
LEVA,BROWN LEATHER,8,
LEVA,BROWN LEATHER,8.5,
LEVA,BROWN LEATHER,9,
LEVA,BROWN LEATHER,9.5,
LEVA,BROWN LEATHER,10,
LEVA,BROWN LEATHER,10.5,
LEVA,BROWN LEATHER,11,
LEVA,BLACK LEATHER,5,
LEVA,BLACK LEATHER,5.5,
LEVA,BLACK LEATHER,6,
LEVA,BLACK LEATHER,6.5,
LEVA,BLACK LEATHER,7,
LEVA,BLACK LEATHER,7.5,
LEVA,BLACK LEATHER,8,
LEVA,BLACK LEATHER,8.5,
